"firstent","iso3c","country","region","income_level_iso3c"
"Integrated Framework Administrative Unit","NOTST","Nonstate Rep","NOTST","NOTST"
"Islamic Development Bank","NOTST","Nonstate Rep","NOTST","NOTST"
"Office for LDCs","NOTST","Nonstate Rep","NOTST","NOTST"
"West African Economic and Monetary Union","NOTST","Nonstate Rep","NOTST","NOTST"
"WIPO","NOTST","Nonstate Rep","NOTST","NOTST"
"Members","NOTST","Nonstate Rep","NOTST","NOTST"
"Namibia","NAM","Namibia","Sub-Saharan Africa","UMC"
"Special Representative of the President of the World Bank","NOTST","Nonstate Rep","NOTST","NOTST"
"Sweden","SWE","Sweden","Europe & Central Asia","HIC"
"OCED Development Assistance Committee","NOTST","Nonstate Rep","NOTST","NOTST"
"St. Lucia","LCA","St. Lucia","Latin America & Caribbean","UMC"
"CARICOM","NOTST","Nonstate Rep","NOTST","NOTST"
"Israel","ISR","Israel","Middle East & North Africa","HIC"
"UNIDO","NOTST","Nonstate Rep","NOTST","NOTST"
"Bahrain","BHR","Bahrain","Middle East & North Africa","HIC"
"Observers","NOTST","Nonstate Rep","NOTST","NOTST"
"Organisation of African Unity","NOTST","Nonstate Rep","NOTST","NOTST"
"Trade and Finance Division","NOTST","Nonstate Rep","NOTST","NOTST"
"ACP Group","NOTST","Nonstate Rep","NOTST","NOTST"
"Gabon","GAB","Gabon","Sub-Saharan Africa","UMC"
"Human Resources Section","NOTST","Nonstate Rep","NOTST","NOTST"
"Training Division","NOTST","Nonstate Rep","NOTST","NOTST"
"Jordan","JOR","Jordan","Middle East & North Africa","UMC"
"Training Institute","NOTST","Nonstate Rep","NOTST","NOTST"
"Director","NOTST","Nonstate Rep","NOTST","NOTST"
"Ministry of Trade and Industry in Panama","NOTST","Nonstate Rep","NOTST","NOTST"
"Belize","BLZ","Belize","Latin America & Caribbean","UMC"
"Bulgaria","BGR","Bulgaria","Europe & Central Asia","UMC"
"Development and Economic Research Division","NOTST","Nonstate Rep","NOTST","NOTST"
"Mauritania","MRT","Mauritania","Sub-Saharan Africa","LMC"
"CBFA","NOTST","Nonstate Rep","NOTST","NOTST"
"CTE","NOTST","Nonstate Rep","NOTST","NOTST"
"WTO Technical Cooperation Audit","NOTST","Nonstate Rep","NOTST","NOTST"
"WTO Training Institute","NOTST","Nonstate Rep","NOTST","NOTST"
"NEPAD","NOTST","Nonstate Rep","NOTST","NOTST"
"Croatia","HRV","Croatia","Europe & Central Asia","HIC"
"Czech Republic","CZE","Czech Republic","Europe & Central Asia","HIC"
"Romania","ROU","Romania","Europe & Central Asia","HIC"
"Slovak Republic","SVK","Slovak Republic","Europe & Central Asia","HIC"
"Ethiopia","ETH","Ethiopia","Sub-Saharan Africa","LIC"
"Kyrgyz Republic","KGZ","Kyrgyz Republic","Europe & Central Asia","LMC"
"Iceland","ISL","Iceland","Europe & Central Asia","HIC"
"Maldives","MDV","Maldives","South Asia","UMC"
"Solomon Islands","SLB","Solomon Islands","East Asia & Pacific","LMC"
"CFC","NOTST","Nonstate Rep","NOTST","NOTST"
"Common Fund for Commodities","NOTST","Nonstate Rep","NOTST","NOTST"
"Pacific Islands Forum","NOTST","Nonstate Rep","NOTST","NOTST"
"St. Kitts and Nevis","KNA","St. Kitts and Nevis","Latin America & Caribbean","HIC"
"Antigua","ATG","Antigua and Barbuda","Latin America & Caribbean","HIC"
"IDLO","NOTST","Nonstate Rep","NOTST","NOTST"
"FAO","NOTST","Nonstate Rep","NOTST","NOTST"
"International Trade Statistics Section","NOTST","Nonstate Rep","NOTST","NOTST"
"ITU","NOTST","Nonstate Rep","NOTST","NOTST"
"Angola","AGO","Angola","Sub-Saharan Africa","LMC"
"Honduras","HND","Honduras","Latin America & Caribbean","LMC"
"ICO","NOTST","Nonstate Rep","NOTST","NOTST"
"International Coffee Organization","NOTST","Nonstate Rep","NOTST","NOTST"
"TCAU","NOTST","Nonstate Rep","NOTST","NOTST"
"CCP","NOTST","Nonstate Rep","NOTST","NOTST"
"Food and Agriculture Organization","NOTST","Nonstate Rep","NOTST","NOTST"
"ICCO","NOTST","Nonstate Rep","NOTST","NOTST"
"Mali","MLI","Mali","Sub-Saharan Africa","LIC"
"Budget and Control Section","NOTST","Nonstate Rep","NOTST","NOTST"
"Chief Statistician","NOTST","Nonstate Rep","NOTST","NOTST"
"Nestle","NOTST","Nonstate Rep","NOTST","NOTST"
"General Council of WTO","NOTST","Nonstate Rep","NOTST","NOTST"
"UNDP","NOTST","Nonstate Rep","NOTST","NOTST"
"Tonga","TON","Tonga","East Asia & Pacific","UMC"
"Arab Group","NOTST","Nonstate Rep","NOTST","NOTST"
"Qatar","QAT","Qatar","Middle East & North Africa","HIC"
"United Arab Emirates","ARE","United Arab Emirates","Middle East & North Africa","HIC"
"Iran","IRN","Iran, Islamic Rep.","Middle East & North Africa","UMC"
"Vietnam","VNM","Vietnam","East Asia & Pacific","LMC"
"IDB Section","NOTST","Nonstate Rep","NOTST","NOTST"
"Strategic Planning, Monitoring, and Evaluation Section","NOTST","Nonstate Rep","NOTST","NOTST"
"Economic Research and Statistics Division","NOTST","Nonstate Rep","NOTST","NOTST"
"Botswana","BWA","Botswana","Sub-Saharan Africa","UMC"
"Chairman","ADMN","Nonstate Rep","ADMN","ADMN"
"Committee","ADMN","Nonstate Rep","ADMN","ADMN"
"ESRD","NOTST","Nonstate Rep","NOTST","NOTST"
"ITTC Director","NOTST","Nonstate Rep","NOTST","NOTST"
"The Gambia","GMB","The Gambia","Sub-Saharan Africa","LIC"
